event_id,state,income_group,total_articles,indic_articles,en_articles,indic_share,coverage_days,t_first_days,S_sov,S_TTFR,S_CD,MSS,MSS_entropy
E30,Assam,Low,2578,432,2101,0.16757176105508145,103,0,0.0655,1.0,0.5543,0.3502,0.2396
E31,Assam,Low,3690,642,3030,0.17398373983739837,93,0,0.0938,1.0,0.5,0.3563,0.2407
E32,Assam,Low,1044,233,809,0.2231800766283525,18,0,0.0265,1.0,0.0924,0.2344,0.0648
E33,Bihar,Low,16055,5359,9866,0.33379009654313296,77,0,0.4083,1.0,0.413,0.5276,0.4202
E34,Bihar,Low,7901,2519,4881,0.31882040248069865,94,0,0.2009,1.0,0.5054,0.4216,0.3131
E35,Bihar,Low,2089,987,1017,0.47247486835806607,47,0,0.0531,1.0,0.25,0.2819,0.1332
E36,Bihar,Low,5796,2826,2656,0.48757763975155277,185,0,0.1474,1.0,1.0,0.4884,0.4374
E37,Bihar,Low,6031,2652,3122,0.4397280716299121,92,0,0.1534,1.0,0.4946,0.391,0.2783
E38,Bihar,Low,1407,721,552,0.5124378109452736,22,0,0.0357,1.0,0.1141,0.2442,0.0779
E39,Chhattisgarh,Low,2464,883,1569,0.35836038961038963,94,0,0.0626,1.0,0.5054,0.3386,0.2219
E40,Chhattisgarh,Low,756,419,336,0.5542328042328042,46,0,0.0192,1.0,0.2446,0.2604,0.1091
E41,Chhattisgarh,Low,4896,1909,2976,0.38991013071895425,92,0,0.1245,1.0,0.4946,0.3736,0.2592
E42,Delhi,High,33940,8718,22641,0.2568650559811432,92,0,0.8632,1.0,0.4946,0.8168,0.7467
E43,Goa,High,828,36,321,0.043478260869565216,20,0,0.021,1.0,0.1033,0.2333,0.0647
E44,Goa,High,1315,89,859,0.06768060836501902,20,0,0.0334,1.0,0.1033,0.2407,0.0729
E45,Goa,High,2234,161,1121,0.0720680393912265,47,0,0.0568,1.0,0.25,0.2841,0.1357
E46,Goa,High,2405,224,819,0.09313929313929314,138,0,0.0611,1.0,0.7446,0.3856,0.298
E47,Gujarat,High,2153,784,1231,0.36414305620065024,20,0,0.0547,1.0,0.1033,0.2535,0.0869
E48,Gujarat,High,8983,2959,5256,0.32939997773572305,105,0,0.2284,1.0,0.5652,0.4501,0.3506
E49,Gujarat,High,2206,851,1232,0.385766092475068,29,0,0.0561,1.0,0.1522,0.2641,0.1036
E50,Gujarat,High,4680,1792,2589,0.38290598290598293,94,0,0.119,1.0,0.5054,0.3725,0.2591
E51,Gujarat,High,1362,633,577,0.4647577092511013,47,0,0.0346,1.0,0.25,0.2708,0.121
E52,Gujarat,High,979,570,343,0.5822267620020429,20,0,0.0249,1.0,0.1033,0.2356,0.0673
E53,Gujarat,High,7654,2960,4228,0.3867258949568853,185,0,0.1946,1.0,1.0,0.5168,0.4685
E54,Gujarat,High,7803,2631,4830,0.33717800845828527,92,0,0.1984,1.0,0.4946,0.418,0.308
E55,Gujarat,High,2588,1225,1257,0.47333848531684697,19,0,0.0658,1.0,0.0978,0.259,0.0925
E56,Haryana,High,1093,276,790,0.252516010978957,24,0,0.0278,1.0,0.125,0.2417,0.0762
E57,Haryana,High,746,277,442,0.37131367292225204,19,0,0.0189,1.0,0.0978,0.2309,0.0615
E58,Haryana,High,6126,2370,3706,0.3868756121449559,34,0,0.1558,1.0,0.1793,0.3293,0.1782
E59,Himachal Pradesh,Low,1247,282,946,0.22614274258219727,24,0,0.0317,1.0,0.125,0.244,0.0788
E60,Himachal Pradesh,Low,1815,217,1371,0.11955922865013774,24,0,0.0461,1.0,0.125,0.2527,0.0883
E61,Himachal Pradesh,Low,1187,476,684,0.401010951979781,31,0,0.0301,1.0,0.163,0.2507,0.09
E62,Himachal Pradesh,Low,3765,1092,2583,0.2900398406374502,96,0,0.0957,1.0,0.5163,0.3607,0.2472
E63,Himachal Pradesh,Low,2771,960,1724,0.3464453265968964,136,0,0.0704,1.0,0.7337,0.389,0.3007
E64,Himachal Pradesh,Low,3988,1704,2200,0.4272818455366098,185,0,0.1014,1.0,1.0,0.4608,0.407
E65,Himachal Pradesh,Low,2726,1281,1439,0.4699192956713133,41,0,0.0693,1.0,0.2174,0.2851,0.1334
E66,Himachal Pradesh,Low,1631,611,1011,0.3746167995095034,20,12,0.0414,0.0273,0.1033,0.051,0.0611
