event_id,state,income_group,total_articles,indic_articles,en_articles,indic_share,coverage_days,t_first_days,S_vol,S_sov,S_TTFR,S_CD,MSS
E80,Kerala,Middle,3445,1013,1974,0.29404934687953554,27,0,0.7432,0.0876,1.0,0.1413,0.4775
E81,Madhya Pradesh,Low,12032,2488,9070,0.20678191489361702,86,0,0.8751,0.306,1.0,0.462,0.6467
E82,Madhya Pradesh,Low,13978,4287,9440,0.3066962369437688,62,0,0.8909,0.3555,1.0,0.3315,0.6402
E83,Madhya Pradesh,Low,5242,1458,3684,0.27813811522319726,76,0,0.7875,0.1333,1.0,0.4076,0.5578
E84,Madhya Pradesh,Low,2159,529,1402,0.24502084298286245,22,0,0.694,0.0549,1.0,0.1141,0.4475
E85,Madhya Pradesh,Low,5817,2051,3698,0.3525872442839952,94,0,0.7985,0.1479,1.0,0.5054,0.585
E86,Madhya Pradesh,Low,8173,4090,3953,0.5004282393246055,185,0,0.8343,0.2079,1.0,1.0,0.7127
E87,Madhya Pradesh,Low,3638,1179,2422,0.3240791643760308,27,0,0.749,0.0925,1.0,0.1413,0.4807
E88,Madhya Pradesh,Low,1098,523,559,0.4763205828779599,20,0,0.6227,0.0279,1.0,0.1033,0.4158
E89,Maharashtra,High,5544,947,4382,0.1708152958152958,19,0,0.7934,0.141,1.0,0.0978,0.4999
E90,Maharashtra,High,11258,2910,7641,0.2584828566352816,20,0,0.8681,0.2863,1.0,0.1033,0.567
E91,Maharashtra,High,7701,1320,4773,0.17140631086871835,17,0,0.8281,0.1958,1.0,0.087,0.5246
E92,Maharashtra,High,11788,3024,8066,0.25653206650831356,29,0,0.873,0.2998,1.0,0.1522,0.5823
E93,Maharashtra,High,8424,2627,5292,0.3118471035137702,31,0,0.8375,0.2142,1.0,0.163,0.5481
E94,Maharashtra,High,39317,13922,22625,0.3540961924867106,112,0,1.0,1.0,1.0,0.6033,0.9207
E95,Maharashtra,High,19382,3874,14230,0.19987617376947683,94,0,0.9254,0.493,1.0,0.5054,0.7266
E96,Maharashtra,High,4766,1339,2958,0.2809483843894251,47,0,0.7774,0.1212,1.0,0.25,0.5196
E97,Maharashtra,High,20891,6630,13075,0.31736154324828875,92,0,0.9333,0.5313,1.0,0.4946,0.7383
E98,Maharashtra,High,2766,1020,1540,0.368763557483731,19,0,0.7201,0.0703,1.0,0.0978,0.4567
E99,Manipur,Low,2264,219,1716,0.09673144876325088,53,0,0.699,0.0576,1.0,0.2826,0.4835
