event_id,state,district,canonical_state,start_date,bbox_area_km2,state_area_km2,district_km2,raw_flood_area_km2,adjusted_flood_area_km2,flood_ratio,combined_source,region_total_population,population_exposed,exposure_rate,warnings
E165,West Bengal,Birbhum,West Bengal,2019-07-14,,88752,4566.0,51.83,51.83,0.0114,NDWI,100202000,58517.0,0.0114,
E166,West Bengal,Birbhum,West Bengal,2020-06-01,,88752,4566.0,19.73,19.73,0.0043,NDWI,100202000,22275.0,0.0043,
E167,West Bengal,Birbhum,West Bengal,2021-06-01,,88752,4566.0,763.08,763.08,0.1671,SITS,100202000,861526.0,0.1671,
E168,West Bengal,Birbhum,West Bengal,2025-10-03,,88752,4566.0,648.4,648.4,0.142,SITS,100202000,732051.0,0.142,
E17,Andhra Pradesh,Krishna,Andhra Pradesh,2024-07-09,,162975,8431.7,561.97,561.97,0.0666,SITS,53586000,184775.0,0.0666,
E18,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2015-07-07,,83743,6676.5,1.14,1.14,0.0002,S1(cloud),1594000,22.0,0.0002,
E19,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2016-04-22,,83743,6676.5,5.91,5.91,0.0009,S1(cloud),1594000,112.0,0.0009,
E20,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2016-06-25,,83743,6676.5,,,,none,1594000,,,NO COMBINED FLOOD: source=none
E21,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2020-06-01,,83743,6676.5,0.31,0.31,0.0,NDWI,1594000,6.0,0.0,
E22,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2025-05-31,,83743,6676.5,1.54,1.54,0.0002,NDWI,1594000,29.0,0.0002,
E23,Assam,Hojai,Assam,2015-08-13,,78438,3997.4,,,,none,36493000,,,NO COMBINED FLOOD: source=none
E24,Assam,Hojai,Assam,2016-04-22,,78438,3997.4,,,,none,36493000,,,NO COMBINED FLOOD: source=none
E25,Assam,Hojai,Assam,2016-06-25,,78438,3997.4,,,,none,36493000,,,NO COMBINED FLOOD: source=none
E26,Assam,Hojai,Assam,2017-06-04,,78438,3997.4,18.93,18.93,0.0047,S1(cloud),36493000,8807.0,0.0047,
E27,Assam,Hojai,Assam,2018-06-22,,78438,3997.4,124.81,124.81,0.0312,S1(cloud),36493000,58067.0,0.0312,
E28,Assam,Hojai,Assam,2021-07-01,,78438,3997.4,47.51,47.51,0.0119,SITS,36493000,22104.0,0.0119,
E29,Assam,Hojai,Assam,2022-05-17,,78438,3997.4,1383.22,1383.22,0.346,SITS,36493000,643538.0,0.346,
E30,Assam,Hojai,Assam,2023-06-14,,78438,3997.4,502.99,502.99,0.1258,SITS,36493000,234014.0,0.1258,
E31,Assam,Hojai,Assam,2024-05-01,,78438,3997.4,29.18,29.18,0.0073,NDWI,36493000,13576.0,0.0073,
E32,Assam,Hojai,Assam,2025-05-31,,78438,3997.4,2094.28,2094.28,0.5239,SITS,36493000,974356.0,0.5239,
E33,Bihar,Samastipur,Bihar,2016-07-15,,94163,2911.5,,,,none,131041000,,,NO COMBINED FLOOD: source=none
E34,Bihar,Samastipur,Bihar,2020-06-01,,94163,2911.5,347.75,347.75,0.1194,SITS,131041000,483943.0,0.1194,
E35,Bihar,Samastipur,Bihar,2021-06-01,,94163,2911.5,36.45,36.45,0.0125,NDWI,131041000,50725.0,0.0125,
E36,Bihar,Samastipur,Bihar,2022-05-17,,94163,2911.5,26.39,26.39,0.0091,NDWI,131041000,36725.0,0.0091,
E37,Bihar,Samastipur,Bihar,2023-06-25,,94163,2911.5,80.69,80.69,0.0277,SITS,131041000,112291.0,0.0277,
E38,Bihar,Samastipur,Bihar,2025-10-03,,94163,2911.5,1083.8,1083.8,0.3722,SITS,131041000,1508259.0,0.3722,
E39,Chhattisgarh,Mahasamund,Chhattisgarh,2020-06-01,,135192,4766.8,12.91,12.91,0.0027,NDWI,30982000,2959.0,0.0027,
E40,Chhattisgarh,Mahasamund,Chhattisgarh,2021-06-01,,135192,4766.8,5.89,5.89,0.0012,NDWI,30982000,1350.0,0.0012,
E41,Chhattisgarh,Mahasamund,Chhattisgarh,2023-06-25,,135192,4766.8,56.79,56.79,0.0119,NDWI,30982000,13015.0,0.0119,
E42,Delhi,Delhi,Delhi,2023-06-25,,1484,1504.3,734.82,734.82,0.4885,SITS,22277000,11030718.0,0.4885,
E43,Goa,South Goa,Goa,2015-08-28,,3702,1992.4,,,,none,1593000,,,NO COMBINED FLOOD: source=none
E44,Goa,South Goa,Goa,2016-07-28,,3702,1992.4,,,,none,1593000,,,NO COMBINED FLOOD: source=none
E45,Goa,South Goa,Goa,2017-06-25,,3702,1992.4,1.09,1.09,0.0005,S1(cloud),1593000,469.0,0.0005,
E46,Goa,South Goa,Goa,2021-06-01,,3702,1992.4,1.25,1.25,0.0006,NDWI,1593000,538.0,0.0006,
E47,Gujarat,Surendranagar,Gujarat,2016-08-01,,196024,10480.7,,,,none,73513000,,,NO COMBINED FLOOD: source=none
E48,Gujarat,Surendranagar,Gujarat,2017-06-01,,196024,10480.7,19.72,19.72,0.0019,NDWI,73513000,7395.0,0.0019,
E49,Gujarat,Surendranagar,Gujarat,2018-06-22,,196024,10480.7,1.26,1.26,0.0001,S1(cloud),73513000,473.0,0.0001,
E50,Gujarat,Surendranagar,Gujarat,2020-06-01,,196024,10480.7,2487.91,2487.91,0.2374,SITS,73513000,933017.0,0.2374,
E51,Gujarat,Surendranagar,Gujarat,2021-06-01,,196024,10480.7,1621.2,1621.2,0.1547,SITS,73513000,607983.0,0.1547,
E52,Gujarat,Surendranagar,Gujarat,2021-09-13,,196024,10480.7,3942.81,3942.81,0.3762,SITS,73513000,1478634.0,0.3762,
E53,Gujarat,Surendranagar,Gujarat,2022-05-17,,196024,10480.7,3571.3,3571.3,0.3408,SITS,73513000,1339310.0,0.3408,
E54,Gujarat,Surendranagar,Gujarat,2023-06-25,,196024,10480.7,0.0,0.0,0.0,NDWI(no-S1),73513000,0.0,0.0,ZERO FLOOD AREA after combine
E55,Gujarat,Surendranagar,Gujarat,2024-08-26,,196024,10480.7,2482.18,2482.18,0.2368,SITS,73513000,930868.0,0.2368,
E56,Haryana,Hisar,Haryana,2015-07-07,,44212,4174.8,,,,none,31057000,,,NO COMBINED FLOOD: source=none
